"word","count"
"mnmmmmmmmm","29"
"nnmmmmmmmm","29"
"nmmmmmmmmm","61"
"mmmmmmmmmm","436"
"mmmmmmmmmn","78"
"mmmmmmmmnm","35"
"mmmmmmmmnn","54"
"mmmmmmmnmn","20"
"mmmmmmmnmm","11"
"mmmmmmmnnm","29"
"mmmmmmnmnn","11"
"mmmmmmnmmn","4"
"mmmmmmnnmn","26"
"mmmmmmmnnn","44"
"mmmmmnmnnn","5"
"mmmmmnmmnn","9"
"mmmmmnnmnn","29"
"mmmmmnmnnm","10"
"mmmmmmnnnm","23"
"mmmmnmnnnm","10"
"mmmmnmmnnm","9"
"mmmmnnmnnm","9"
"mmmmnmnnmn","4"
"mmmmmnnnmn","1"
"mmmmmnnnmo","1"
"mmmmmmnnmo","3"
"mmmmmnnnmp","2"
"mmmnmnnnmp","1"
"mmmnmmnnmq","1"
"mmmnnmnnmq","1"
"mmmnmnnmnq","1"
"mmmmnnnmnq","1"
"mmmmnnnmor","1"
"mmmmmnnmor","2"
"mmmmnnnmpr","2"
"mmnmnnnmpr","1"
"mmnmmnnmqr","1"
"mmnnmnnmqr","1"
"mmnmnnmnqr","1"
"mmmnnnmnqs","1"
"mmmnnnmors","1"
"mmmmnnmors","2"
"mmmnnnmprs","2"
"mnmnnnmprs","1"
"mnmmnnmqrs","1"
"mnnmnnmqrs","1"
"mnmnnmnqrt","1"
"mmnnnmnqst","1"
"mmnnnmorst","1"
"mmmnnmorst","2"
"mmnnnmprst","2"
"nmnnnmprst","1"
"nmmnnmqrst","1"
"nnmnnmqrst","1"
"nmnnmnqrts","1"
"mnnnmnqsts","1"
"mnnnmorsts","1"
"mmnnmorsts","2"
"mnnnmprsts","3"
"mmnnmqrsts","1"
"nmnnmqrsts","1"
"mnnmnqrtss","1"
"nnnmnqstss","1"
"nnnmorstss","1"
"mnnmorstss","2"
"nnnmprstss","2"
"nnnmprstsr","1"
"mnnmqrstsr","2"
"nnmnqrtssr","1"
"nnmnqstssr","1"
"nnmorstssr","3"
"nnmprstssr","2"
"nnmprstsrr","1"
"nnmqrstsrr","2"
"nmnqrtssrr","1"
"nmnqstssrr","1"
"nmorstssrr","3"
"nmprstssrr","2"
"nmprstsrrr","1"
"nmqrstsrrr","1"
"nmqrstsrrq","1"
"mnqrtssrrq","1"
"mnqstssrrq","1"
"morstssrrq","2"
"nrrssrrsss","1"
"orrssrrssr","1"
"prrssrrssr","1"
"pqrssrrssr","1"
"qqrssrrssr","1"
"qqrssrrssq","1"
"rqsssrrssq","2"
"rrsssrsssp","2"
"rrssrrsssp","1"
"rrssrrssrp","2"
"qrssrrssrp","1"
"qrssrrssro","1"
"qrssrrssqo","1"
"qsssrrssqo","2"
"rsssrssspo","1"
"rsssrssspn","1"
"rssrrssspn","1"
"rssrrssrpn","3"
"rssrrssron","1"
"rssrrssqon","1"
"sssrrssqon","2"
"sssrssspon","1"
"sssrssspnn","1"
"ssrrssspnn","1"
"ssrrssrpnn","3"
"ssrrssronn","1"
"ssrrssqonn","2"
"ssrrssqonm","1"
"ssrsssponm","1"
"ssrssspnnm","1"
"srrssspnnm","1"
"srrssrpnnm","3"
"srrssronnm","1"
"srrssqonnm","2"
"srrssqonmm","1"
"srsssponmm","1"
"srssspnnmm","1"
"rrssspnnmm","1"
"rrssrpnnmm","2"
"rrssrpnnmn","1"
"rrssronnmn","1"
"rrssqonnmn","2"
"rrssqonmmn","1"
"rsssponmmn","1"
"rssspnnmmn","2"
"rssrpnnmmn","2"
"rssrpnnmnn","1"
"rssronnmnm","1"
"rssqonnmnm","2"
"rssqonmmnm","1"
"sssponmmnm","1"
"ssspnnmmnm","2"
"ssrpnnmmnm","2"
"ssrpnnmnnm","1"
"ssronnmnmm","1"
"ssqonnmnmm","2"
"ssqonmmnmm","1"
"ssponmmnmm","1"
"sspnnmmnmm","2"
"srpnnmmnmm","2"
"srpnnmnnmm","1"
"sronnmnmmm","1"
"sqonnmnmmm","2"
"sqonmmnmmm","1"
"sponmmnmmm","1"
"spnnmmnmmm","2"
"rpnnmmnmmm","2"
"rpnnmnnmmm","1"
"ronnmnmmmm","1"
"qonnmnmmmm","2"
"qonmmnmmmm","1"
"ponmmnmmmm","1"
"pnnmmnmmmm","4"
"pnnmnnmmmm","1"
"onnmnmmmmm","3"
"onmmnmmmmm","2"
"nnmmnmmmmm","14"
"nnmnnmmmmm","11"
"nnmnmmmmmm","5"
"nmmnmmmmmm","20"
"nmnnmmmmmm","18"
"nmnmmmmmmm","14"
"mmnmmmmmmm","16"
"mnnmmmmmmm","14"
"mnmmmmmmmn","12"
"nnmmmmmmmn","7"
"nmmmmmmmmn","18"
"nmmmmmmmno","2"
"mmmmmmmmno","8"
"mmmmmmmnoo","2"
"mmmmmmmnon","8"
"mmmmmmnoon","2"
"mmmmmmnonn","1"
"mmmmmmnonm","2"
"mmmmmmnonl","2"
"mmmmmmnonk","2"
"mmmmmmnonj","1"
"mmmmmnoonj","1"
"mmmmmnooni","1"
"mmmmmnonni","1"
