"word","count"
"mprstssrrq","2"
"mprstsrrrp","1"
"mqrstsrrro","1"
"mqrstsrrqo","1"
"nqrtssrrqn","1"
"nqstssrrqn","1"
"orstssrrqn","3"
"prstssrrqn","1"
"prstssrrqo","1"
"prstsrrrpp","1"
"qrstsrrrop","1"
"qrstsrrqoq","1"
"qrtssrrqnq","1"
"qstssrrqnr","1"
"rstssrrqnr","4"
"rstssrrqor","1"
"rstsrrrppr","1"
"rstsrrropq","1"
"rstsrrqoqq","1"
"rtssrrqnqq","1"
"stssrrqnrq","2"
"stssrrqnrr","3"
"stssrrqorr","1"
"stsrrrpprr","1"
"stsrrropqr","1"
"stsrrqoqqr","1"
"tssrrqnqqr","1"
"tssrrqnrqs","2"
"tssrrqnrrs","3"
"tssrrqorrs","1"
"tsrrrpprrs","1"
"tsrrropqrs","1"
"tsrrqoqqrs","1"
"ssrrqnqqrs","1"
"ssrrqnrqss","2"
"ssrrqnrrss","3"
"ssrrqorrss","1"
"srrrpprrss","1"
"srrropqrss","1"
"srrqoqqrss","1"
"srrqnqqrss","1"
"srrqnrqsss","2"
"srrqnrrsss","2"
"srrqnrrssr","1"
"srrqorrssr","1"
"rrrpprrssr","1"
"rrropqrssr","1"
"rrqoqqrssr","1"
"rrqnqqrssr","1"
"rrqnrqsssr","2"
"rrqnrrsssr","2"
"rrqnrrssrr","1"
"rrqorrssrr","1"
"rrpprrssrr","1"
"rropqrssrr","1"
"rqoqqrssrr","1"
"rqnqqrssrr","1"
"rqnrqsssrr","2"
"rqnrrsssrs","2"
"rqnrrssrrs","1"
"rqorrssrrs","1"
"rpprrssrrs","1"
"ropqrssrrs","1"
"qoqqrssrrs","1"
"qnqqrssrrs","1"
"qnrqsssrrs","2"
"qnrrsssrss","2"
"qnrrssrrss","1"
"qorrssrrss","1"
"pprrssrrss","1"
"opqrssrrss","1"
"oqqrssrrss","1"
"nqqrssrrss","1"
"nrqsssrrss","2"
"nrrsssrsss","1"
"efeeeeeeed","2"
"eeeeeeeeed","16"
"feeeeeeeed","2"
"feeeeeeede","2"
"eeeeeeeede","8"
"eeeeeeedef","9"
"eeeeeeeeef","33"
"eeeeeedeff","8"
